a bit	m?t chút, m?t it
person	con ngu?i, ngu?i
personal	cá nhân, tu, riêng tu
personality	nhân cách, tính cách; nhân ph?m, cá tính
personally	dích thân, b?n thân, v? ph?n rôi, d?i v?i tôi
persuade	thuy?t ph?c
pet	con nóng gi?n; v?t cung, ngu?i du?c yêu thích
petrol	xang d?u
phase	tu?n trang; giai do?n, th?i k?
philosophy	tri?t h?c, tri?t lý
photocopy	b?n sao ch?p; sao ch?p
photograph	?nh, b?c ?nh; ch?p ?nh
photographer	th? ch?p ?nh, nhà nhi?p ?nh
photography	thu?t ch?p ?nh, ngh? nhi?p ?nh
phrase	câu; thành ng?, c?m t?
physical	v?t ch?t;  co th?, thân th?
physically	v? thân th?, theo lu?t t? nhiên
physics	v?t lý h?c
piano	dàn pianô, duong c?m
pick	cu?c
pick sth up	cu?c, v?, xé
picture	b?c v?, b?c h?a
piece	m?nh, m?u; d?ng ti?n
pig	con l?n
pile	c?c, ch?ng, d?ng, pin; dóng c?c, ch?t ch?ng
pill	viên thu?c
pilot	phi công
pin	dinh ghim; ghim., k?p
pink	màu h?ng; hoa c?m chu?ng, tình tr?ng t?t, hoàn h?o
pint	panh
pipe	?ng d?n
pitch	sân ; d?u h?c ín
pity	lòng thuong h?i, di?u dáng ti?c, dáng thuong
place	noi, d?a di?m; qu?ng tru?ng
plain	ngay th?ng, don gi?n, ch?t phác
plan	b?n d?, k? ho?ch; v? b?n d?, l?p k? ho?ch, d? ki?n
plane	m?t ph?ng, m?t b?ng
planet	hành tinh
planning	s? l?p k? ho?ch, s? quy ho?ch
plant	th?c v?t, s? m?c lên; tr?ng, gieo
plastic	ch?t d?o, làm b?ng ch?t d?o
plate	b?n, t?m kim lo?i
platform	n?n, b?c, b?; th?m, sân ga
play	choi, dánh; s? vui choi, trò choi, tr?n d?u
player	ngu?i choi 1 trò choi nào dó
pleasant	vui v?, d? thuong; d?u dàng, thân m?t
pleasantly	vui v?, d? thuong; thân m?t
please exclamation,	làm vui lòng, v?a lòng, mong... vui lòng, xin m?i
pleased	hài lòng
pleasing	mang l?i ni?m vui thích; d? ch?u
pleasure	ni?m vui thích, di?u thích thú, di?u thú v?; ý mu?n, ý thích
plenty	nhi?u ; ch? s? th?a; s? sung túc, s? p.phú
plot	m?nh d?t nh?, so d?, d? th?, d? án; v? so d?, d?ng d? án
plug	nút
plus	c?ng v?i ; d?u c?ng; c?ng, thêm vào
pocket	túi , túi ti?n
poem	thi ca; ch?t tho
point	mui nh?n, di?m; vót, làm nh?n, ch?m
pointed	nh?n, có d?u nh?n
poison	ch?t d?c, thu?c d?c; dánh thu?c d?c, t?m thu?c d?c
poisonous	d?c, có ch?t d?c, gây ch?t, b?nh
pole	ngu?i ba lan; c?c
police	c?nh sát, công an
policy	chính sách
polish	nu?c bóng, nu?c láng; dánh bóng, làm cho láng
polite	l? phép, l?ch s?
politely	l? phép, l?ch s?
political	v? chính tr?, v? chính ph?, có tính chính tr?
politically	v? m?t chính tr?; khôn ngoan, th?n tr?ng; s?o quy?t
politician	nhà chính tr?, chính khách
politics	h?at d?ng chính tr?, d?i s?ng chính tr?, quan di?m chính tr?
pollution	s? ô nhi?m
pool	vung nu?c; b? boi, h? boi
poor	nghèo
pop	ti?p b?p, phong cách dân gian hi?n d?i; n? b?p
popular	có tính d?i chúng,  nhân dân; du?c nhi?u ngu?i ua chu?ng
population	dân cu, dân s?; m?t d? dân s?
port	c?ng
pose	dua ra, d? ra, d?t; s? d?t, d? ra
position	v? trí, ch?
positive	xác th?c, rõ ràng, tích c?c, l?c quan
possess	có, chi?m h?u
possession	quy?n s? h?u, v?t s? h?u
possibility	kha nang, tri?n v?ng
possible	có th?, có th? th?c hi?n
possibly	có l?, có th?, có th? ch?p nh?n du?c
post	thu, buu ki?n; g?i thu
post office	buu di?n
pot	can, bình, l?...
potato	khoai tây
potential	ti?m nang; kh? nang, ti?m l?c
potentially	ti?m nang, ti?m ?n
pound	pao - don v? do lu?ng
pour	rót, d?, gi?i
powder	b?t, b?i
power	kh? nang, tài nang, nang l?c; s?c m?nh, n?i l?c; quy?n l?c
powerful	hùng m?nh, hùng cu?ng
practical	th?c hành; th?c t?
practically	v? m?t th?c hành; th?c t?
practice	th?c hành, th?c ti?n
practise	th?c hành, t?p luy?n
praise	s? ca ng?i, s? tán duong, lòng tôn kính, tôn th?; khen ng?i, tán duong
prayer	s? c?u nguy?n
precise	rõ ràng, chính xác; t? m?, k? tính
precisely	dúng, chính xác, c?n th?n
predict	báo tru?c, tiên doán, d? báo
prefer	thích hon
preference	s? thích hon, s? ua hon; cái du?c ua thích hon
pregnant	mang thai; giàu trí tu?ng tu?ng, sáng t?o
premises	bi?t th?
preparation	s? s?a so?n, s? chu?n b?
prepare	s?a so?n, chu?n b?
prepared	dã du?c chu?n b?
presence	s? hi?n di?n, s? có m?t; ngu?i, vât hi?n di?n
present	có m?t, hi?n di?n; hi?n nay, hi?n th?i; bày t?, gi?i thi?u, trình bày
presentation	bài thuy?t trình, s? trình di?n, s? gi?i thi?u
preserve	b?o qu?n, gi? gìn
president	hi?u tru?ng, ch? t?nh, t?ng th?ng
press	s? ép, s? nén, s? ?n; ép, nén, bóp, ?n
pressure	s?c ép, áp l?c, áp su?t
presumably	có th? du?c, có l?
pretend	gi? v?, gi? b?, làm ra v?
pretty	khá, v?a ph?i; xinh, xinh x?n;, d?p
prevent	ngan c?n, ngan ch?n, ngan ng?a
previous	v?i vàng, h?p t?p; tru?c , uu tiên
previously	tru?c, tru?c dây
price	s? kiêu hãnh, s? hãnh di?n; tính kiêu cang, t? ph?
priest	linh m?c, th?y tu
primarily	tru?c h?t, d?u tiên
primary	nguyên th?y, d?u tiên; th?i c? d?i, nguyên sinh; so c?p, ti?u h?c
prime minister	th? tu?ng
prince	hoành t?
princess	công chúa
principle	co b?n, ch? y?u; nguyên lý, nguyên t?c
print	in, xu?t b?n; s? in ra
printer	máy in, th? in
printing	s? in, thu?t in, k? s?o in
prior	tru?c, uu tiên
priority	s? uu t?, quy?n uu tiên
prison	nhà tù
prisoner	tù nhân
private	cá nhân, riêng
privately	riêng tu, cá nhân
prize	gi?i, gi?i thu?ng
probable	có th?, có kh? nang
probably	h?u nhu ch?c ch?n
problem	v?n d?, di?u khó gi?i quy?t
procedure	th? t?c
proceed	ti?n lên, theo du?i, ti?p di?n
process	quá trình, s? ti?n tri?n, quy trình; ch? bi?n, gia công, x? lý
produce	s?n xu?t, ch? t?o
producer	nhà s?n xu?t
product	s?n ph?m
production	s? s?n xu?t, ch? t?o
profession	ngh?, ngh? nghi?p
professional	ngh?, ngh? nghi?p; chuyên nghi?p
professor	giáo su, gi?ng viên
profit	thu?n l?i, l?i ích, l?i nhu?n
program	chuong trình; lên chuong trình
programme	chuong trình
progress	s? ti?n t?i, s? ti?n tri?n; ti?n b?, ti?n tri?n, phát tri?n
project	d? án, d? án, k? ho?ch; d? ki?n, k? ho?ch
promise	h?a, l?i h?a
promote	thang ch?c, thang c?p
promotion	s? thang ch?c, s? thang c?p
prompt	mau l?, nhanh chóng; xúi, gi?c, nh?c nh?
promptly	mau l?, ngay l?p t?c
pronounce	tuyên b?, thông báo, phát âm
pronunciation	s? phát âm
proof	ch?ng, ch?ng c?, b?ng ch?ng; s? ki?m ch?ng
proper	dúng, thích dáng, thích h?p
properly	m?t cách dúng d?n, m?t cách thích dáng
property	tài s?n, c?a c?i; d?t dai, nhà c?a, b?t d?ng s?n
proportion	s? cân x?ng, s? cân d?i
proposal	s? d? ngh?, d? xu?t
propose	d? ngh?, d? xu?t, dua ra
prospect	vi?n c?nh, toàn c?nh; tri?n v?ng, mong ch?
protect	b?o v?, che ch?
protection	s? b?o v?, s? che ch?
protest	s? ph?n d?i, s? ph?n kháng; ph?n d?i, ph?n kháng
proud	t? hào, kiêu hãnh
proudly	m?t cách t? hào, m?t cách hãnh di?n
prove	ch?ng t?, ch?ng minh
provide	chu?n b? d?y d?, d? phòng; cung c?p, chu c?p
provided	v?i di?u ki?n là, mi?n là
public	chung, công c?ng; công chúng, nhân dân
publication	s? công b?; s? xu?t b?n
publicity	s? công khai, s? qu?ng cáo
publicly	công khai, công c?ng
publicyhouse	quán ru?u, ti?m ru?u
publish	công b?, ban b?; xu?t b?n
publishing	công vi?c, ngh? xu?t b?n
pull	lôi, kéo, gi?t; s? lôi kéo, s? gi?t
punch	d?m, th?i; qu? d?m, cú th?i
punish	ph?t, tr?ng ph?t
punishment	s? tr?ng ph?t, s? tr?ng tr?
pupil	h?c sinh
purchase	s? mua, s? t?u; mua, s?m, t?u
pure	nguyên ch?t, tinh khi?t, trong lành
purely	hoàn toàn, ch? là
purple	tía, có màu tía; màu tía
purpose	m?c dích, ý d?nh
pursue	du?i theo, du?i b?t
push	xô d?y; s? xô d?y
put	d?t, d?, cho vào
put  out	t?t, d?p t?t
qualification	ph?m ch?t, nang l?c; kh? nang chuyên môn
qualified	d? tu cách, di?u ki?n, kh? nang
qualify	d? kh? nang, d? tu cách, di?u ki?n
quality	ch?t lu?ng, ph?m ch?t
quantity	lu?ng, s? lu?ng
quarter	4, 15 phút
queen	n? hoàng
question	câu h?i; h?i, ch?t v?n
quick	nhanh
quickly	nhanh
quiet	l?ng, yên l?ng, yên tinh
quietly	l?ng, yên l?ng, yên tinh
quit	thoát, thoát ra
quite	hoàn toàn, h?u h?t
quote	trích d?n
race	loài, ch?ng, gi?ng; cu?c dua; dua
racing	cu?c dua
radio	sóng vô tuy?n, radio
rail	du?ng ray
railway	du?ng s?t
rain	mua, con mua; mua
raise	nâng lên, dua lên, ng?ng lên
range	dãy, hàng, lo?i; ph?m vi, trình d?
rank	hàng, dãy; s?p x?p thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hi?m, ít
rarely	hi?m khi, ít khi
rate	t? l?, t?c d?
rather	thà.. còn hon, thích... hon
rather than	hon là
raw	s?ng , thô, còn nguyên ch?t
reach	d?n, di d?n, t?i
react	tác d?ng tr? l?i, ph?n ?ng
reaction	s? ph?n ?ng; s? ph?n tác d?ng
read	d?c
reader	ngu?i d?c, d?c gi?
reading	s? d?c
ready	s?n sàng
real	th?c, th?c t?, có th?t
realistic	hi?n th?c
reality	s? th?t, th?c t?, th?c t?i
realize	th?c hi?n, th?c hành
really	th?c, th?c ra, th?c s?
rear	phía sau; ? d?ng sau, ? d?ng sau
reason	lý do, lý l?
reasonable	có lý, h?p lý
reasonably	h?p lý
recall	g?i v?, tri?u h?i; nh?c l?i, g?i l?i
receipt	công th?c; don thu?c
receive	nh?n, linh, thu
recent	g?n dây, m?i dây
recently	g?n dây, m?i dây
reception	s? nh?n, s? ti?p nh?n, s? dón ti?p
reckon	tính, d?m
recognition	s? công nh?n, s? th?a nh?n
recognize	nh?n ra, nh?n di?n; công nh?n, th?a nh?n
recommend	gi?i thi?u, ti?n c?; d? ngh?, khuyên b?o
record	b?n ghi, s? ghi, b?n thu, s? thu; thu, ghi chép
recording	s? ghi, s? thu âm
recover	l?y l?i, giành l?i
red	d?; màu d?
reduce	gi?m, gi?m b?t
reduction	s? gi?m giá, s? h? giá
refer to	xem, tham kh?o; ám ch?, nh?c d?n
reference	s? tham kh?o, h?i ýe ki?n
reflect	ph?n chi?u, ph?n h?i, ph?n ánh
reform	c?i cách, c?i thi?n, c?i t?o; s? c?i cách, s? c?i thi?n, c?i t?o
refrigerator	t? l?nh
refusal	s? t? ch?i, s? khu?c t?
refuse	t? ch?i, khu?c t?
regard	nhìn, dánh giá; cái nhìn, s? quan tâm, s? chú ý
regarding	v?, v? vi?c, d?i v?i
region	vùng, mi?n
regional	vùng, d?a phuong
register	dang ký, ghi vào s?; s?, s? sách, máy ghi
regret	dáng ti?c, h?i ti?c; lòng thuong ti?c, s? h?i ti?c
regular	thu?ng xuyên, d?u d?n
regularly	d?u d?n, thu?ng xuyên
regulation	s? di?u ch?nh, di?u l?, quy t?c
reject	không ch?p nh?n, lo?i b?, bác b?
relate	k? l?i, thu?t l?i; liên h?, liên quan
related	có liên quan, có quan h? v?i ai, cái gì
relation	m?i quan h?, s? liên quan, liên l?c
relationship	m?i quan h?, m?i liên l?c
relative	có liên quan d?n; ngu?i có h?, d?i t? quan h?
relatively	có liên quan, có quan h?
relax	gi?i trí, ngh? ngoi
relaxed	thanh th?n, tho?i mái
relaxing	làm gi?m, b?t cang th?ng
release	làm nh?, b?t, th?, phóng thích, phát hành; s? gi?i thoát, thoát
relevant	thích h?p, có liên quan
relief	s? gi?m nh?, s? làm cho khuây kh?a; s? tr? c?o; s? d?n bù
religion	tôn giáo
religious	tôn giáo
rely on	tin vào, tin c?y, tin tu?ng vào
remain	còn l?i, v?n còn nhu cu
remaining	còn l?i
remains	d? th?a, cái còn l?i
remark	s? nh?n xét, phê bình, s? d? ý, chú ý; nh?n xét, phê bình, d? ý, chú ý
remarkable	dáng chú ý, dáng d? ý; khác thu?ng
remarkably	dáng chú ý, dáng d? ý; khác thu?ng
remember	nh?, nh? l?i
remind	nh?c nh?, g?i nh?
remote	xa, xa xôi, xa cách
removal	viêc di chuy?n, vi?c d?n nhà, d?i di
remove	d?i di, di chuy?n
rent	s? thuê mu?n; cho thuê, thuê
rented	du?c thuê, du?c mu?n
repair	s?a ch?a, ch?nh tu; s? s?a ch?a, s? ch?nh tu
repeat	nh?c l?i, l?p l?i
repeated	du?c nh?c l?i, du?c l?p l?i
repeatedly	l?p di l?p l?i nhi?u l?n
replace	thay th?
reply	s? tr? l?i, s? h?i âm; tr? l?i, h?i âm
report	báo cáo, tu?ng trình; b?n báo cáo, b?n tu?ng trình
represent	miêu t?, hình dung; d?i di?n, thay m?t
representative	di?u tiêu bi?u, tu?ng trung, m?u; miêu t?, bi?u hi?n, d?i di?n, tu?ng trung
reproduce	tái s?n xu?t
reputation	s? n?i ti?ng, n?i danh
request	l?i th?nh c?u, l?i d? ngh?, yêu c?u; th?nh c?u, d? ngh?, yêu c?u
require	dòi h?i, yêu c?u, quy d?nh
requirement	nhu c?u, s? dòi h?i; lu?t l?, th? t?c
rescue	gi?i thoát, c?u nguy; s? gi?i thoát, s? c?u nguy
research	s? nghiên c?u
reservation	s? h?n ch?, di?u ki?n h?n ch?
reserve	d? tr?, d? dành, d?t tru?c, dang ký tru?c; s? d? tr?, s? d? dành, s? d?t tru?c, s? dang ký tru?c
resident	ngu?i sinh s?ng, trú ng?, khách tr?; có nhà ?, cu trú, thu?ng trú
resist	ch?ng l?i, ph?n d?i, kháng c?
resistance	s? ch?ng l?i, s? ph?n d?i, s? kháng c?
resolve	quy?t d?nh, kiên quy?t
resort	k? sách, phuong k?
resource	tài nguyên; k? sách, th? do?n
respect	s? kính tr?ng, s? l? phép; tôn tr?ng, kính tr?ng, khâm ph?c
respond	hu?ng ?ng, ph?n ?ng l?i, tr? l?i
response	s? tr? l?i, câu tr? l?i, s? hu?ng ?ng, s? dáp l?i
responsibility	trách nhi?m, s? ch?u trách nhi?m
responsible	ch?u trách nhi?m v?, ch?u trách nhi?m tru?c ai, gì
rest	s? ngh? ngoi, lúc ngh?; ngh?, ngh? ngoi
restaurant	nhà hàng an, hi?u an
restore	hoàn l?i, tr? l?i; s?a ch?a l?i, ph?c h?i l?i
restrict	h?n ch?, gi?i h?n
restricted	b? h?n ch?, có gi?i h?n; vùng c?m
restriction	s? h?n ch?, s? gi?i h?n
result	k?t qu?; b?i, do.. mà ra, k?t qu? là...
retain	gi? l?i, nh? du?c
retire	r?i b?, rút v?; thôi, ngh? vi?c, v? huu
retired	?n d?t, h?o lánh, dã v? huu, dã ngh? vi?c
retirement	s? ?n d?t, noi h?o lánh, s? v? huu, s? ngh? vi?c
return	tr? l?i, tr? v?; s? tr? l?i, s? tr? v?
reveal	b?c l?, bi?u l?, ti?t l?; phát hi?n, khám phá
reverse	d?o, ngu?c l?i; di?u trái ngu?c, m?t trái
review	s? xem l?i, s? xét l?i; làm l?i, xem xét l?i
revise	d?c l?i, xem l?i, s?a l?i, ôn l?i
revision	s? xem l?i, s? d?c l?i, s? s?a l?i, s? ôn l?i
revolution	cu?c cách m?ng
reward	s? thu?ng, ph?n thu?ng; thu?ng, thu?ng công
rhythm	nh?p di?u
rice	g?o, thóc, com; cây lúa
rich	giàu, giàu có
rid	gi?i thoát
ride	di, cu?i ; s? di, du?ng di
rider	ngu?i cu?i ng?a, ngu?i di xe d?p
ridiculous	bu?n cu?i, l? b?ch, l? lang
riding	môn th? thao cu?i ng?a, s? di xe
right	th?ng, ph?i, t?t; ngay, dúng; di?u thi?n, di?u ph?i, t?t, bên ph?i
rightly	dúng, ph?i, có lý
ring	chi?c nh?n, deo nh?n cho ai
rise	s? lên, s? tang luong, thang c?p; d?y, d?ng lên, m?c , thành d?t
risk	s? li?u, m?o hi?m; li?u
rival	d?i th?, d?ch th?; d?i d?ch, c?nh tranh
river	sông
road	con du?ng, du?ng ph?
rob	cu?p, l?y tr?m
rock	dá
role	vai , vai trò
roll	cu?n, cu?n, s? lan tròn; lan, cu?n, qu?n, cu?n
romantic	lãng m?n
roof	mái nhà, nóc
room	phòng, bu?ng
root	g?c, r?
rope	dây cáp, dây th?ng, xâu, chu?i
rough	g? gh?, l?m ch?m
roughly	g? gh?, l?m ch?m
round	tròn, vòng quanh, xung quanh
rounded	b? làm thành tròn; phát tri?n d?y d?
route	du?ng di, l? trình, tuy?n du?ng
routine	thói thu?ng, l? thu?ng, th? t?c; thu?ng l?, thông thu?ng
row name	hàng, dãy
royal	vua, n? hoàng, hoàng gia
rub	c? xát, xoa bóp, nghi?n, tán
rubber	cao su
rubbish	v?t vô giá tr?, b? di, rác ru?i
rude	b?t l?ch s?, thô l?; thô so, don gi?n
rudely	b?t l?ch s?, thô l?; thô so, don gi?n
ruin	làm h?ng, làm d? nát, làm phá s?n; s? h?ng, s? d? nát, s? phá s?n
ruined	b? h?ng, b? d? nát, b? phá s?n
rule	quy t?c, di?u l?, lu?t l?; cai tr?, ch? huy, di?u khi?n
ruler	ngu?i cai tr?, ngu?i tr? vì; thu?c k?
rumour	tin d?n, l?i d?n
run	ch?y; s? ch?y
runner	ngu?i ch?y
running	s? ch?y, cu?c ch?y dua
rural	nông thôn, vùng nông thôn
rush	xông lên, lao vào, xô d?y; s? xông lên, s? lao vào, s? xô d?y
sack	bào t?i; dóng bao, b? vào bao
sad	bu?n, bu?n bã
sadly	m?t cách bu?n bã, dáng bu?n là, không may mà
sadness	s? bu?n r?u, s? bu?n bã
safe	an toàn, ch?c ch?n, dáng tin
safely	an toàn, ch?c ch?n, dáng tin
safety	s? an toàn, s? ch?c chan
sail	di tàu, thuy?n, nh? neo; bu?m, cánh bu?m, chuy?n di b?ng thuy?n bu?m
sailing	s? di thuy?n
sailor	th?y th?
salad	sa lát ; rau s?ng
salary	ti?n luong
sale	vi?c bán hàng
salt	mu?i
salty	ch? v? mu?i, có mu?i, m?n
same	d?u d?u, don di?u; cung nhu th?, v?n cái dó
sample	m?u, hàng m?u
sand	cát
satisfaction	s? làm cho th?a mãn, to?i nguy?n; s? tr? n?, b?i thu?ng
satisfied	c?m th?y hài lòng, v?a ý, tho? mãn
satisfy	làm th?a mãn, hài lòng; tr? , chu?c t?i
satisfying	dem l?i s? th?a mãn, làm th?a mãn, làm v?a ý
saturday	th? 7
sauce	nu?c x?t, nu?c ch?m
save	c?u, luu
saving	nói
scale	v?y
scare	làm kinh hãi, s? hãi, d?a; s? s? hãi, s? kinh hoàng
scared	b? ho?ng s?, b? s? hãi
scene	c?nh, phong c?nh
schedule	k? ho?ch làm vi?c, b?n li?t kê; lên th?i khóa bi?u, lên k? ho?ch
scheme	s? s?p x?p, s? ph?i h?p; k? ho?ch th?c hi?n; lu?c d?, so d?
school	dàn cá, b?y cá
science	khoa h?c, khoa h?c t? nhiên
scientific	khoa h?c, có tính khoa h?c
scientist	nhà khoa h?c
scissors	cái kéo
score	di?m s?, b?n th?ng, t? s?; d?t du?c, thành công, cho di?m
scratch	cào, làm xu?c da; s? cào, s? tr?y xu?c da
scream	gào thét, kêu lên; ti?ng thét, ti?ng kêu to
screen	màn che, màn ?nh, màn hình; phim ?nh nói chung
screw	dinh vít, dinh ?c; b?t vít, b?t ?c
sea	bi?n
seal	h?i c?u; san h?i c?u
search	s? tìm ki?m, s? tham dò, s? di?u tra; tìm ki?m, tham dò, di?u tra
season	mùa
seat	gh?, ch? ng?i
second	th? hai, ? v? trí th? 2, th? nhì; ngu?i v? nhì
secondary	trung h?c, th? y?u
secret	bí m?t; di?u bí m?t
secretary	thu ký
secretly	bí m?t, riêng tu
section	m?c, ph?n
sector	khu v?c, linh v?c
secure	ch?c ch?n, d?m b?o; b?o d?m, gi? an ninh
security	s? an toàn, s? an ninh
see	nhìn, nhìn th?y, quan sát
seed	h?t, h?t gi?ng
seek	tìm, tìm ki?m, theo du?i
seem linking	ch?n l?a, ch?n l?c
selection	s? l?a ch?n, s? ch?c l?c
self	b?n thân mình
sell	bán
senate	thu?ng nghi vi?n, ban giám hi?u
senator	thu?ng ngh? si
send	g?i, phái di
senior	nhi?u tu?i hon, dành cho tr? em trên 11t; ngu?i l?n tu?i hon, sinh viên nam cu?i tru?ng trung h?c, cao d?ng
sense	giác quan, tri giác, c?m giác
sensible	có óc xét doán; hi?u, nh?n bi?t du?c
sensitive	d? b? thuong, d? b? h?ng; d? b? xúc ph?m
sentence	câu
separate	khác nhau, riêng bi?t; làm r?i, tách ra, chia tay
separated	ly thân
separately	không cùng nhau, thành ngu?i riêng, v?t riêng
separation	s? chia c?t, phân ly, s? chia tay, ly thân
september	tháng 9
series	lo?t, dãy, chu?i
serious	d?ng d?n, nghiêm trang
seriously	d?ng d?n, nghiêm trang
servant	ngu?i h?u, d?y t?
serve	ph?c v?, ph?ng s?
service	s? ph?c v?, s? h?u h?
session	bu?i h?p, phiên h?p, bu?i, phiên
set	b?, b?n, dám, lu; d?t d?, b? trí
set fire to	d?t cháy cái gì
settle	gi?i quy?t, dàn x?p, hòa gi?i, d?t, b? trí
several	vài
severe	kh?t khe, gay g?t
severely	kh?t khe, gay g?t
sew	may, khâu
sewing	s? khâu, s? may vá
sex	gi?i, gi?ng
sexual	gi?i tính, các v?n d? sinh lý
sexually	gi?i tính, các v?n d? sinh lý
shade	bóng, bóng t?i
shadow	bóng, bóng t?i, bóng râm, bóng mát
shake	rung, l?c, giu; s? rung, s? l?c, s? giu
shall modal	d? doán tuong lai: s?
shallow	nông, c?n
shame	s? x?u h?, th?n thùng, s? ngu?ng
shape	hình, hình d?ng, hình thù
shaped	có hình dáng du?c ch? rõ
share	dóng góp, tham gia, chia s?; ph?n dóng góp, ph?n tham gia, ph?n chia s?
sharp	s?c, nh?n, bén
sharply	s?c, nh?n, bén
shave	c?o
she	nó, bà ?y, ch? ?y, cô ?y...
sheep	con c?u
sheet	chan, khan tr?i giu?ng; lá, t?m, phi?n, t?
shelf	k?, ngan, giá
shell	v?, mai; v? b? ngoài
shelter	s? nuong t?a, s? che ch?, s? ?n náu; che ch?, b?o v?
shift	d?i ch?, d?i ch?, chuy?n, giao; s? thay d?i, s? luân phiên
shine	chi?u sáng, t?a sáng
shiny	sáng chói, bóng
ship	tàu, tàu th?y
shirt	áo so mi
shock	s? d?ng ch?m, va ch?m, s? kích d?ng, s? choáng; ch?m m?nh, va m?nh, gây s?c
shocked	b? kích d?ng, b? va ch?m, b? s?c
shocking	gây ra cam ph?n, t?i t?, gây kích d?ng
shoe	giày
shoot	v?t qua, ch?y qua, ném, phóng, b?n; dâm ra, tr?i ra
shooting	s? b?n, s? phóng di
shop	c?a hàng; di mua h?ng, di ch?
shopping	s? mua s?m
short	ng?n, c?t
shortly	trong th?i gian ng?n, s?m
shot	d?n, viên d?n
should modal	nên
shoulder	vai
shout	hò hét, reo hò; s? la hét, s? hò reo
show	bi?u di?n, trung bày; s? bi?u di?n, s? bày t?
shower	vòi hoa sen, s? t?m vòi hoa sen
shut	dóng, khép, d?y; tính khép kín
shy	nhút nhát, e th?n
sick	?m, dau, b?nh
side	m?t, m?t ph?ng
sideways	ngang, t? m?t bên; sang bên
sight	c?nh d?p; s? nhìn
sign	d?u, d?u hi?u, kí hi?u; dánh d?u, vi?t ký hi?u
signal	d?u hi?u, tín hi?u; ra hi?u, báo hi?u
signature	ch? ký
significant	nhi?u ý nghia, quan tr?ng
significantly	dáng k?
silence	s? im l?ng, s? yên tinh
silent	im l?ng, yên tinh
silk	to , ch?, l?a
silly	ng? ng?n, ngu ng?c, kh? d?i
silver	b?c, d?ng b?c; làm b?ng b?c, tr?ng nhu b?c
similar	gi?ng nhu, tuong t? nhu
similarly	tuong t?, gi?ng nhau
simple	don, don gi?n, d? dàng
simply	m?t cách d? dàng, gi?n d?
since	t?, t? khi; t? khi, t? lúc dó; t? dó, t? lúc ?y
sincere	th?t thà, th?ng th?ng, chân thành
sincerely	m?t cách chân thành
sing	hát, ca hát
singer	ca si
singing	s? hát, ti?ng hát
single	don, don d?c, don l?
sink	chìm, lún, d?m
sir	xung hô l?ch s? ngài, ông
sister	ch?, em gái
sit	ng?i
sit down	ng?i xu?ng
site	ch?, v? trí
situation	hoàn c?nh, d?a th?, v? trí
size	c?
sized	dã du?c d?nh c?
skilful	tài gi?i, khéo tay
skilfully	tài gi?i, khéo tay
skill	k? nang, k? s?o
skilled	có k? nang, có k? s?o, kh?o tay; có kinh nghi?m,, lành ngh?
skin	da, v?
skirt	váy, d?m
sky	tr?i, b?u tr?i
sleep	ng?; gi?c ng?
sleeve	tay áo, ?ng tay
slice	mi?ng, lát m?ng; c?t ra thành mi?ng m?ng, lát m?ng
slide	tru?tc, chuy?n d?ng nh?, lu?t qua
slight	m?ng manh, thon, g?y
slightly	m?nh kh?nh, m?ng manh, y?u ?t
slip	tru?t, tu?t, trôi qua, ch?y qua
slope	d?c, du?ng d?c, d? d?c; nghiêng, d?c
slow	ch?m, ch?m ch?p
slowly	m?t cách ch?m ch?p, ch?m d?n
small	nh?, bé
smart	m?nh, ác li?t
smash	d?p, v? tan thành m?nh; s? d?p, v? tàn thành m?nh
smell	ng?i; s? ng?i, kh?u giác
smile	cu?i, m?m cu?i; n? cu?i, v? tuoi cu?i
smoke	khói, hoi thu?c; hút thu?c, b?c khói, hoi
smoking	s? hút thu?c
smooth	nh?n, tron, mu?t mà
smoothly	m?t cách êm ?, trôi ch?y
snake	con r?n; ngu?i nham hi?m, x?o trá
snow	tuy?t; tuy?t roi
so	nhu v?y, nhu th?; vì th?, vì v?y, vì th? cho nên
so that	d?, d? cho, d? mà
soap	xà phòng
social	có tính xã h?i
socially	có tính xã h?i
society	xã h?i
sock	t?t ngans, mi?ng lót giày
soft	m?m, d?o
softly	m?t cách m?m d?o
software	ph?n m?m
soil	d?t tr?ng; v?t b?n
soldier	lính, quân nhân
solid	r?n; th? r?n, ch?t r?nh
solution	s? gi?i quy?t, gi?i pháp
solve	gi?i, gi?i thích, gi?i quy?t
some	m?t it, m?t vài
somebody	ngu?i nào dó
somehow	không bi?t làm sao, b?ng cách này hay cách khác
something	m?t di?u gì dó, m?t vi?c gì dó, m?t cái gì dó
sometimes	th?nh tho?ng, dôi khi
somewhat	d?n m?c d? nào dó, hoi, m?t chút
somewhere	noi nào dó. dâu dó
son	con trai
song	bài hát
soon	s?m, ch?ng bao lâu n?a
sore	dau, nh?c
sorry	xin l?i, l?y làm ti?c, l?y làm bu?n
sort	th?, h?ng lo?i; l?a ch?n, s?p x?p, phân lo?i
soul	tâm h?n, tâm trí, linh h?n
sound	âm thanh; nghe
soup	xúp, canh, cháo
sour	chua, có v? gi?m
source	ngu?n
south	phuong nam, hu?ng nam; ? phía nam; hu?ng v? phía nam
southern	thu?c phuong nam
space	kho?ng tr?ng, kho?ng cách
